funcionario_id,hospital_id,nome,sobrenome,cpf,cargo,especialidade,crm_coren,data_contratacao,salario,turno,email_corporativo,status_funcionario
1,1,Liam,Peixoto,164.253.078-62,Administrativo,,,2022-02-14,13562.65,Noite,luiz-fernandosilveira@example.com,Ferias
2,2,Mariana,Castro,401.957.382-41,Administrativo,,,2013-11-23,8906.36,Manha,zrocha@example.org,Desligado
3,2,Gabriela,Aragão,794.532.068-65,Farmaceutico,,,2023-08-17,8816.17,Diurno,icirino@example.com,Ferias
4,1,Luara,da Rocha,269.534.801-06,Tecnico Enfermagem,,,2014-03-25,9881.62,Noturno,vcampos@example.net,Ativo
5,1,Gustavo,Camargo,850.912.367-59,Farmaceutico,,,2011-08-16,23534.65,Tarde,brenocamargo@example.org,Afastado
6,1,Maria Eduarda,da Mata,463.017.259-99,Farmaceutico,,,2015-09-09,16866.83,Noturno,pietra71@example.org,Afastado
7,2,Pedro Lucas,Macedo,704.238.961-13,Seguranca,,,2024-01-17,4552.85,Tarde,portoluiz-henrique@example.net,Afastado
8,1,Pedro,da Cunha,485.196.237-19,Tecnico Laboratorio,,,2011-03-25,7775.21,Noite,ana-clarapimenta@example.net,Afastado
9,1,Ana Cecília,Camargo,074.592.386-00,Administrativo,,,2014-07-28,24319.7,Manha,cavalcantestella@example.org,Afastado
10,3,Liam,Fonseca,792.154.036-80,Farmaceutico,,,2011-09-13,19609.03,Diurno,wcampos@example.net,Ativo
11,1,Caroline,Guerra,902.418.735-41,Tecnico Enfermagem,,,2016-12-27,22284.98,Noturno,zazevedo@example.org,Ferias
12,1,Aurora,Duarte,168.042.975-20,Tecnico Laboratorio,,,2012-11-03,11085.92,Noturno,ramosevelyn@example.net,Afastado
13,3,Maria Flor,Oliveira,945.327.801-79,Farmaceutico,,,2021-05-14,14768.38,Manha,ialbuquerque@example.net,Ferias
14,1,Gustavo,Souza,154.980.672-67,Administrativo,,,2012-10-27,21466.6,Manha,benicio61@example.org,Desligado
15,2,Sofia,Moreira,863.407.951-10,Tecnico Enfermagem,,,2014-10-10,3653.82,Manha,josuejesus@example.com,Ativo
16,3,Theo,Montenegro,786.210.534-62,Tecnico Enfermagem,,,2025-02-03,24355.84,Manha,levimoraes@example.org,Ferias
17,2,Maria Helena,Souza,951.326.047-06,Medico,Clínico Geral,CRM/ES 36196,2010-10-20,11809.59,Tarde,nascimentoluna@example.net,Afastado
18,3,Helena,da Rosa,065.748.231-53,Atendente,,,2014-07-07,22203.57,Noite,elisacardoso@example.org,Ferias
19,3,Thomas,Silveira,250.769.138-77,Atendente,,,2012-01-18,12798.09,Tarde,pedro-lucascastro@example.net,Ativo
20,3,Davi,Aparecida,472.183.056-44,Farmaceutico,,,2014-10-12,24182.2,Manha,paulo88@example.org,Ferias
21,3,Ravi,Machado,534.217.098-23,Administrativo,,,2008-01-13,4484.11,Tarde,ana-clarafreitas@example.net,Afastado
22,1,Hadassa,Montenegro,061.594.372-16,Limpeza,,,2020-06-26,16332.71,Diurno,jrocha@example.net,Desligado
23,2,Theodoro,Caldeira,413.682.790-31,Farmaceutico,,,2012-02-07,15183.83,Manha,upimenta@example.net,Ativo
24,2,Asafe,Mendes,652.307.184-71,Farmaceutico,,,2022-09-07,21662.03,Diurno,caldeiramaria@example.net,Desligado
