paciente_id,nome,sobrenome,data_nascimento,genero,cpf,rg,endereco,cidade,estado,cep,telefone,email,tipo_sanguineo,historico_medico_resumo,data_cadastro
1,Julia,Gomes,1980-05-13,F,307.259.184-97,461872031,"Viela de da Conceição, 209",Casa Grande,RN,70374-094,(011) 1876-9548,bryanda-rosa@example.org,O+,Quos praesentium occaecati totam dicta ipsam nemo. Aliquam commodi corrupti officiis.,2025-04-01 20:34:24
2,Emilly,Duarte,1955-09-17,F,618.253.074-07,84523061X,Vale Cavalcante,Moura,PA,19181346,+55 (084) 8500-2099,gabriela74@example.org,B+,Dolorum laudantium quaerat facilis asperiores iste.,2023-05-29 20:34:24
3,Marina,Silveira,1975-03-28,F,291.038.547-79,867235044,"Vale Lucca das Neves, 41",Mendes Alegre,PI,25749-584,(081) 1470 0777,spinto@example.net,O-,Quo harum laborum ducimus dolorem rem vel.,2022-08-30 20:34:24
4,Gustavo Henrique,Borges,1955-11-15,M,183.079.426-40,065742187,"Chácara Silveira, 30",da Mata,SE,48231-219,81 2238 2282,andre09@example.org,B+,Corrupti provident dolorem.,2022-01-16 20:34:24
5,Lorenzo,Moura,1971-06-24,M,104.592.768-67,465810238,"Jardim Gonçalves, 16",Almeida,CE,19198915,61 6760 1633,felipeda-mota@example.com,O+,Est alias earum eius eum quae.,2021-03-25 20:34:24
6,Manuella,Fogaça,1971-12-13,F,895.014.236-89,714352809,"Trecho de Mendonça, 25",Pacheco,CE,44859044,(061) 6690 3952,noah11@example.com,A+,Molestias expedita vel explicabo quaerat repudiandae provident. Eum nemo natus natus.,2023-03-03 20:34:24
7,Ana Lívia,Albuquerque,1985-01-12,F,975.618.042-02,581340279,"Colônia Joaquim da Rosa, 36",Pereira,SE,49341667,+55 (061) 5353-8438,da-rosacaleb@example.com,A-,Blanditiis explicabo tempore. Provident non quibusdam earum.,2021-07-10 20:34:24
8,Calebe,das Neves,1984-12-18,Outro,695.340.182-60,517380626,"Residencial de Teixeira, 16",da Rocha da Prata,MT,50454-524,11 1766 9342,jda-mata@example.net,O-,Corrupti sed ut maiores placeat.,2022-11-03 20:34:24
9,Bruna,Garcia,1982-03-23,F,362.784.095-00,413250672,"Vereda Cunha, 19",Almeida,PI,14203954,(041) 0819-9220,cfarias@example.com,O-,Officia rerum ab.,2024-08-31 20:34:24
10,Ana Lívia,da Costa,2022-05-02,F,796.512.430-07,64382750X,"Alameda Casa Grande, 199",Souza do Norte,MG,17174324,(084) 9090 9081,vitoria36@example.org,O-,Magnam recusandae vitae excepturi ex nihil. Quo eos nam officiis doloribus commodi et.,2022-06-17 20:34:24
11,Júlia,da Paz,1991-12-01,F,317.426.950-43,653172801,"Esplanada Calebe Ribeiro, 89",Pereira,PR,16374-663,21 8710 5049,jose-miguelmoura@example.com,A-,Dolorum deserunt magni labore ratione nobis.,2021-04-14 20:34:24
12,Isaac,das Neves,1937-09-08,M,915.638.724-55,423168502,"Quadra Pedro Henrique Dias, 88",Silva do Galho,RO,75035291,+55 21 2182 5564,heloisa07@example.net,AB+,Cum amet ducimus fugiat.,2022-01-08 20:34:24
13,Catarina,Nunes,1975-05-16,Outro,156.980.372-21,457182301,"Setor Mathias da Conceição, 91",Aragão,SP,52483949,11 4361-3829,rhavi99@example.org,AB-,Iure officiis incidunt delectus dolorem.,2020-11-26 20:34:24
14,Luan,Santos,1986-02-12,M,412.056.938-15,846730212,Favela de Martins,Costa Verde,PR,96794355,+55 (031) 2555 7312,nascimentomilena@example.org,B+,Magni velit facere maiores illo eveniet tempora deserunt.,2021-06-22 20:34:24
15,Luiz Otávio,das Neves,1937-03-26,M,485.703.916-84,738450212,"Morro Otávio Oliveira, 47",Silveira,MA,36763-257,81 4866-5171,ymelo@example.org,O-,Eligendi itaque modi perspiciatis.,2021-03-12 20:34:24
16,Agatha,Cardoso,1994-05-09,F,957.163.048-93,803167453,"Núcleo de das Neves, 52",Dias de Moura,AM,85758109,41 7298-3281,thomasbarros@example.net,O+,Id recusandae ab earum provident.,2021-11-12 20:34:24
17,Ana Luiza,Marques,2019-08-09,F,687.590.431-48,185234069,"Sítio da Rosa, 5",Melo,PA,06884-942,(011) 0750 2191,mariada-paz@example.org,AB-,Quibusdam esse ipsam itaque quidem.,2023-08-28 20:34:24
18,Laís,Nogueira,1962-06-08,Outro,362.540.897-00,172358607,Colônia de Guerra,Alves do Campo,ES,58366900,11 4529 2391,luccacaldeira@example.org,B-,Totam ipsa recusandae molestiae repellat voluptate dolor. Sed labore reiciendis recusandae beatae laborum ab.,2020-11-29 20:34:24
19,Lívia,Martins,1982-09-03,F,902.176.458-01,047581621,"Parque de Nascimento, 60",da Mata,DF,97532-518,+55 (061) 5447-6390,claricealmeida@example.org,AB+,Necessitatibus corporis quidem enim eos. Nesciunt adipisci delectus repellat nihil.,2025-02-07 20:34:24
20,Vitor,Novais,1992-09-20,M,163.985.427-46,461023751,"Viela Sabrina Carvalho, 65",Dias,ES,49605-799,(061) 7856-9679,alvesdavi-lucas@example.net,AB-,Reiciendis delectus accusamus at.,2024-05-25 20:34:24
21,Yuri,Machado,1943-05-08,Outro,568.197.032-95,385412708,"Rua de Pires, 93",da Rosa,AM,73975883,(051) 5810 1380,peixotovitor-gabriel@example.net,AB-,Atque maxime pariatur laboriosam iure asperiores.,2023-01-06 20:34:24
22,Júlia,Santos,1968-03-03,F,415.708.632-53,56702183X,"Praia de Pacheco, 72",Pacheco do Amparo,DF,01651432,0500 531 8661,alicia46@example.org,B-,Illo maxime molestias dolorum libero. Amet voluptas eius provident ipsam veritatis alias.,2022-09-04 20:34:24
23,Yan,Moura,2006-10-05,M,294.805.137-14,741653084,"Aeroporto Giovanna Vasconcelos, 67",Pinto da Mata,RJ,79331-955,+55 84 7242 7647,pedrosa@example.org,AB+,Nam dicta accusantium sed accusantium.,2021-07-05 20:34:24
24,Noah,Barbosa,1972-03-20,M,451.937.062-07,607541283,"Rua de Casa Grande, 8",da Rosa,PE,02448113,21 3751-6497,heloisa10@example.org,O+,Quis cumque sapiente.,2020-10-05 20:34:24
25,Gustavo Henrique,Alves,2004-05-04,M,513.270.964-80,280153478,"Vale José Pedro Teixeira, 96",Vargas de Mendes,RR,11301630,0800-395-9409,ana-laura72@example.com,B+,Mollitia necessitatibus nulla. Recusandae doloremque saepe doloremque unde deserunt enim dolorem.,2025-01-21 20:34:24
26,Luiz Otávio,Farias,2013-10-14,M,912.340.578-32,618540726,"Morro Marcela Fogaça, 38",Fonseca,MS,89051433,(011) 1000 8055,moraeslivia@example.org,B+,Alias reiciendis saepe. Sit fuga deserunt similique dolores temporibus libero modi.,2023-03-12 20:34:24
27,João Vitor,da Cunha,2011-04-18,Outro,190.683.725-21,235861479,"Travessa Miguel Macedo, 38",Peixoto de Fogaça,CE,60592025,+55 (084) 8913 2813,domsantos@example.org,AB+,Dicta unde praesentium voluptatibus exercitationem cumque.,2024-03-18 20:34:24
28,Arthur Miguel,Sampaio,1960-07-01,Outro,384.751.602-71,71246380X,"Setor Eduardo Farias, 629",Pereira,SP,00027321,51 8963 5998,vieirabenicio@example.org,O+,Omnis odit neque. Aliquid illo soluta perspiciatis.,2022-05-07 20:34:24
29,Léo,Abreu,1988-07-22,M,860.127.534-62,04365812X,"Jardim Kevin Castro, 369",Sales do Campo,RN,66517231,0300-129-5794,meloantonio@example.com,AB+,Nesciunt aspernatur alias aliquam.,2021-04-07 20:34:24
30,Luana,Macedo,1986-10-17,F,819.276.340-40,032567819,"Travessa Davi Luiz Correia, 79",Pires do Oeste,PE,04380023,11 6061-5898,nogueiraayla@example.org,AB-,Fugit voluptates blanditiis facilis asperiores. Rem officiis dolorum labore.,2022-01-23 20:34:24
31,Ana Cecília,Azevedo,2021-07-17,F,957.136.082-12,283046156,"Avenida de Jesus, 329",Costa,CE,74016-128,11 7165-5655,anadias@example.net,O-,Sint id architecto accusantium temporibus debitis. Amet officia numquam rem aliquid.,2021-07-15 20:34:24
32,Diego,Borges,1959-08-16,M,961.835.204-89,564102374,"Pátio de Melo, 28",Martins de Pinto,TO,66343368,(061) 2408-7259,fcorreia@example.com,B-,At nemo hic quidem fugit nobis.,2022-06-02 20:34:24
33,Yan,da Rosa,2005-07-29,Outro,236.075.984-10,076548132,Campo de Farias,Garcia,PI,32448-876,(071) 6330-4624,macedoemilly@example.net,O+,Commodi quasi amet porro delectus harum. Nemo labore aliquam illo vero ullam sint.,2022-10-10 20:34:24
34,Maria Vitória,Fogaça,1939-12-21,Outro,874.019.562-76,841356026,"Loteamento Ana Clara Pires, 47",Barros de Borges,AC,80179705,(081) 2716-3610,lunanascimento@example.org,O+,Corrupti corrupti recusandae. Incidunt ea voluptatum soluta.,2023-09-17 20:34:24
35,Helena,da Cruz,2001-04-24,F,180.243.975-79,473580160,"Setor Isaque Silveira, 358",Costela,AL,20106378,11 9146-2243,pedro72@example.org,B-,Placeat quo nam. Magni asperiores iste nobis facere corporis.,2023-02-02 20:34:24
36,Sofia,Carvalho,1972-01-20,F,130.594.287-60,501436728,"Viaduto de Nascimento, 28",Gomes da Praia,PA,82955930,(061) 8451 6201,ferreiraemanuel@example.net,O+,Rerum nesciunt nemo vel adipisci accusantium. Vel accusamus facilis vero.,2025-02-06 20:34:24
